Genus	Subfamily	Family	Accession	Phage	Genome	Genome size
Flaumdravirus	Gorskivirinae	Vandenendeviridae	KU130129	Pseudomonas phage vB_PsyM_KIL4	dsDNA	92816
Flaumdravirus	Gorskivirinae	Vandenendeviridae	KU130126	Pseudomonas phage vB_PsyM_KIL1	dsDNA	90552
Kremarvirus	Gorskivirinae	Vandenendeviridae	OM982620	Pseudomonas phage Kremar	dsDNA	97636
Kremarvirus	Gorskivirinae	Vandenendeviridae	MZ826350	Pseudomonas phage M5.1	dsDNA	98536
Omahavirus	Gorskivirinae	Vandenendeviridae	PP551948	Pseudomonas phage UNO-G1W1	dsDNA	98605
Otagovirus	Gorskivirinae	Vandenendeviridae	MN905160	Pseudomonas phage PE09	dsDNA	99455
Otagovirus	Gorskivirinae	Vandenendeviridae	MW175491	Pseudomonas phage PN09	dsDNA	99229
Shenlongvirus	Gorskivirinae	Vandenendeviridae	MF893340	Pseudomonas phage PPSC2	dsDNA	97330
Tartuvirus	Gorskivirinae	Vandenendeviridae	PP496413	Pseudomonas phage vB_PpuM-Amme-3	dsDNA	96653
Tartuvirus	Gorskivirinae	Vandenendeviridae	PP496414	Pseudomonas phage vB_PpuM-KoPa-4	dsDNA	97357
Torinovirus	Gorskivirinae	Vandenendeviridae	MT740307	Pseudomonas phage phiK7A1	dsDNA	98780
Uavernvirus	Gorskivirinae	Vandenendeviridae	MZ605293	Pseudomonas phage UAVern	dsDNA	101574
Ventosusvirus	Gorskivirinae	Vandenendeviridae	MG018930	Pseudomonas phage ventosus	dsDNA	97425
Weillhallvirus	Gorskivirinae	Vandenendeviridae	OR001909	Pseudomonas phage 16Q	dsDNA	94627
Yunamivirus	Gorskivirinae	Vandenendeviridae	OR500437	Pseudomonas phage vB_PF_Y1-MI	dsDNA	93233
Baldwinvirus	Skurskavirinae	Vandenendeviridae	ON169972	Pseudomonas phage EM	dsDNA	94775
Pakpunavirus	Skurskavirinae	Vandenendeviridae	OQ225162	Pseudomonas phage vB_PaeS_B8	dsDNA	92835
Pakpunavirus	Skurskavirinae	Vandenendeviridae	OQ225163	Pseudomonas phage vB_PaeM_B31	dsDNA	92420
Chemalvirus		Vandenendeviridae	OR575930	Pseudomonas phage PseuGes_254	dsDNA	95072
Nankokuvirus		Vandenendeviridae	LN610573	Pseudomonas phage vB_PaeM_PAO1_Ab03	dsDNA	86246
Nankokuvirus		Vandenendeviridae	KY994101	Pseudomonas phage vB_PaeM_G1	dsDNA	87646
Bromdenvirus	Lclasvirinae	Vilmaviridae	MH576973	Mycobacterium phage Bromden	dsDNA	70183
Bromdenvirus	Lclasvirinae	Vilmaviridae	MN234187	Mycobacterium phage DyoEdafos	dsDNA	77566
Bronvirus	Lclasvirinae	Vilmaviridae	HM152763	Mycobacterium phage LeBron	dsDNA	73453
Bronvirus	Lclasvirinae	Vilmaviridae	MK310144	Mycobacterium phage CicholasNage	dsDNA	71059
Faithunavirus	Lclasvirinae	Vilmaviridae	KT591489	Mycobacterium phage Archie	dsDNA	76271
Faithunavirus	Lclasvirinae	Vilmaviridae	MT758688	Mycobacterium phage CELFI	dsDNA	77086
Lumosvirus	Lclasvirinae	Vilmaviridae	MF140414	Mycobacterium phage Krypton555	dsDNA	76075
Lumosvirus	Lclasvirinae	Vilmaviridae	KT281791	Mycobacterium phage Lolly9	dsDNA	75816
Bongovirus	Mclasvirinae	Vilmaviridae	JN699628	Mycobacterium phage Bongo	dsDNA	80228
Bongovirus	Mclasvirinae	Vilmaviridae	MT658803	Mycobacterium phage Reindeer	dsDNA	82356
Nanosmitevirus	Mclasvirinae	Vilmaviridae	MW578836	Mycobacterium phage Nanosmite	dsDNA	82676
Reyvirus	Mclasvirinae	Vilmaviridae	MT658802	Mycobacterium phage Aziz	dsDNA	83412
Reyvirus	Mclasvirinae	Vilmaviridae	MT657341	Mycobacterium phage Estes	dsDNA	83601
Kumaovirus		Vilmaviridae	MG009575	Mycobacterium phage Kumao	dsDNA	70373
Wildcatvirus		Vilmaviridae	DQ398052	Mycobacterium phage Wildcat	dsDNA	78296
Peternellavirus		Winoviridae	MT732475	Winogradskyella phage Peternella_1	dsDNA	39649
Pippivirus		Winoviridae	MN812203	Flavobacterium phage vB_FspM_lotta8-1	dsDNA	34751
Pippivirus		Winoviridae	MN812205	Flavobacterium phage vB_FspM_pippi8-1	dsDNA	34711
Commandariavirus	Emilbogenvirinae	Zierdtviridae	OQ709208	Gordonia phage Commandaria	dsDNA	68064
Foxborovirus	Emilbogenvirinae	Zierdtviridae	MH779501	Gordonia phage Emianna	dsDNA	68190
Foxborovirus	Emilbogenvirinae	Zierdtviridae	MH727547	Gordonia phage Foxboro	dsDNA	67773
Gruunavirus	Emilbogenvirinae	Zierdtviridae	MG757157	Gordonia phage Flapper	dsDNA	67527
Gruunavirus	Emilbogenvirinae	Zierdtviridae	JF923797	Gordonia phage GRU1	dsDNA	65766
Kablunavirus	Emilbogenvirinae	Zierdtviridae	MH779499	Gordonia phage Buggaboo	dsDNA	68626
Kablunavirus	Emilbogenvirinae	Zierdtviridae	MF919510	Gordonia phage Kabluna	dsDNA	65869
Pleakleyvirus	Emilbogenvirinae	Zierdtviridae	MH576960	Gordonia phage Pleakley	dsDNA	64105
Skysandvirus	Emilbogenvirinae	Zierdtviridae	MK977699	Gordonia Phage Lollipop1437	dsDNA	67311
Skysandvirus	Emilbogenvirinae	Zierdtviridae	MF919542	Gordonia phage Patio	dsDNA	66251
Sukkupivirus	Emilbogenvirinae	Zierdtviridae	MK433272	Gordonia phage IDyn	dsDNA	65218
Sukkupivirus	Emilbogenvirinae	Zierdtviridae	MH669007	Gordonia phage Marietta	dsDNA	64370
Ceetrepovirus	Toshachvirinae	Zierdtviridae	MG198776	Corynebacterium phage C3PO	dsDNA	67383
Ceetrepovirus	Toshachvirinae	Zierdtviridae	MG198777	Corynebacterium phage Darwin	dsDNA	67743
Chunghsingvirus	Toshachvirinae	Zierdtviridae	DQ499600	Corynebacterium phage P1201	dsDNA	70579
Alegriavirus	Jacobvirinae	Zimmerviridae	LR595859	Escherichia phage 2B8	dsDNA	48763
Bievrevirus	Jacobvirinae	Zimmerviridae	LR595864	Escherichia phage 4A7	dsDNA	49168
Glaedevirus	Jacobvirinae	Zimmerviridae	LR595862	Escherichia phage 2H10	dsDNA	46288
Jouyvirus	Jacobvirinae	Zimmerviridae	LR597643	Escherichia phage ev017	dsDNA	50126
Jouyvirus	Jacobvirinae	Zimmerviridae	LR597636	Escherichia phage ev207	dsDNA	46685
Lambdavirus	Jacobvirinae	Zimmerviridae	EU078592	Escherichia phage DE3	dsDNA	42925
Lambdavirus	Jacobvirinae	Zimmerviridae	JQ182735	Escherichia phage HK629	dsDNA	47288
Nesevirus	Jacobvirinae	Zimmerviridae	LR597639	Escherichia phage ev243	dsDNA	45560
Nesevirus	Jacobvirinae	Zimmerviridae	LR595866	Escherichia phage 2G7b	dsDNA	47142
Radostvirus	Jacobvirinae	Zimmerviridae	LR597635	Escherichia phage ev099	dsDNA	47224
Dotonborivirus	Wollmanvirinae	Zimmerviridae	MF807953	Escherichia phage Ayreon	dsDNA	44708
Dotonborivirus	Wollmanvirinae	Zimmerviridae	AB285204	Enterobacteria phage cdtI	dsDNA	47021
Limmatquaivirus	Wollmanvirinae	Zimmerviridae	JQ182728	Enterobacteria phage mEp460	dsDNA	44510
Limmatquaivirus	Wollmanvirinae	Zimmerviridae	LR595868	Escherichia virus mEp460_4F5	dsDNA	42927
Vilvertvirus	Wollmanvirinae	Zimmerviridae	LR597641	Escherichia phage mEp460_ev081	dsDNA	45865
Essonnevirus		Zimmerviridae	NC_010393.1	Salmonella typhimurium phage Gifsy-1	dsDNA	45840
Schuylkillvirus		Zimmerviridae	NC_010391.1	Salmonella phage Fels-1	dsDNA	42723
Yvettevirus		Zimmerviridae	NC_010392.1	Salmonella typhimurium phage Gifsy-1	dsDNA	48491
Siovirus	Cobavirinae	Zobellviridae	AF189021	Roseobacter phage SIO1	dsDNA	39898
Siovirus	Cobavirinae	Zobellviridae	JQ809650	Celeribacter phage P12053L	dsDNA	38889
Veravirus	Cobavirinae	Zobellviridae	MF431616	Lentibacter phage vB_LenP_ICBM2	dsDNA	40907
Citrovirus		Zobellviridae	KP774835	Citrobacter phage CVT22	dsDNA	47636
Icepovirus		Zobellviridae	HQ641345	Vibrio phage ICP2	dsDNA	49675
Melvirus		Zobellviridae	KF302037	Pseudoalteromonas phage HP1	dsDNA	45035
Melvirus		Zobellviridae	KC751414	Pseudoalteromonas phage RIO-1	dsDNA	43882
Paundecimvirus		Zobellviridae	DQ163915	Pseudomonas phage PA11	dsDNA	49639
Salinovirus		Zobellviridae	JQ446452	Salinivibrio phage CW02	dsDNA	49390
Vipivirus		Zobellviridae	AY095314	Vibrio phage VpV262	dsDNA	46012
Mapvirus	Alphabravovirinae		JX901189	Mycobacterium phage FF47	dsDNA	47724
Mapvirus	Alphabravovirinae		KF024728	Mycobacterium phage Muddy	dsDNA	48228
Merionvirus	Alphabravovirinae		ON108645	Mycobacterium phage NoShow	dsDNA	52825
Siouxcentervirus	Alphabravovirinae		MK279840	Mycobacterium phage JacoRen57	dsDNA	52411
Amaduovirus	Alvaradovirinae		MT241607	Achromobacter phage AMA2	dsDNA	45901
Amaduovirus	Alvaradovirinae		KP202970	Achromobacter phage 83-24	dsDNA	48216
Nyaakvirus	Alvaradovirinae		MT241605	Achromobacter phage AMA1	dsDNA	46328
Nyaakvirus	Alvaradovirinae		MH746817	Achromobacter phage vB_Ade_ART	dsDNA	95343
Steinhofvirus	Alvaradovirinae		KP202969	Achromobacter phage JWX	dsDNA	49714
Steinhofvirus	Alvaradovirinae		OQ817844	Achromobacter phage SE2	dsDNA	45648
Haetaevirus	Andregratiavirinae		KT070867	Bacillus phage PBC2	dsDNA	168689
Kirovvirus	Andregratiavirinae		MW084976	Bacillus phage Kirov	dsDNA	165667
Denvervirus	Andrewesvirinae		MT939241	Enterococcus phage 9183	dsDNA	86301
Vipetofemvirus	Andrewesvirinae		MT119360	Enterococcus phage nattely	dsDNA	85669
Vipetofemvirus	Andrewesvirinae		MT119361	Enterococus phage vipetofem	dsDNA	85371
Arequatrovirus	Arquatrovirinae		JX262376	Streptomyces phage phiELB20	dsDNA	51160
Arequatrovirus	Arquatrovirinae		MH001460	Streptomyces phage Paedore	dsDNA	52743
Caelumvirus	Arquatrovirinae		MN234208	Streptomyces phage Alvy	dsDNA	53011
Caelumvirus	Arquatrovirinae		MK524524	Streptomyces phage Caelum	dsDNA	50374
Camvirus	Arquatrovirinae		MG298964	Streptomyces phage Alsaber	dsDNA	48803
Camvirus	Arquatrovirinae		KT186228	Streptomyces phage Amela	dsDNA	49452
Celiavirus	Arquatrovirinae		MN062705	Streptomyces phage Celia	dsDNA	50493
Hautrevirus	Arquatrovirinae		JX182369	Streptomyces phage phiHau3	dsDNA	50255
Janusvirus	Arquatrovirinae		MH669004	Streptomyces phage Hank144	dsDNA	50547
Janusvirus	Arquatrovirinae		MK392366	Streptomyces phage Janus	dsDNA	50632
Likavirus	Arquatrovirinae		KT124227	Streptomyces phage Aaronocolus	dsDNA	49562
Likavirus	Arquatrovirinae		KT152029	Streptomyces phage Caliburn	dsDNA	49949
Omarvirus	Arquatrovirinae		MF766044	Streptomyces phage Amethyst	dsDNA	49372
Omarvirus	Arquatrovirinae		MF766046	Streptomyces phage Diane	dsDNA	50483
Salutenavirus	Arquatrovirinae		MT708548	Streptomyces phage Salutena	dsDNA	51956
Sentinelvirus	Arquatrovirinae		MT701597	Streptomyces phage Sentinel	dsDNA	50272
Sentinelvirus	Arquatrovirinae		MT701594	Streptomyces phage Spernnie	dsDNA	50834
Yosifvirus	Arquatrovirinae		MH248947	Streptomyces phage Yosif	dsDNA	50129
Dubowvirus	Azeredovirinae		MK658834	Staphylococcus phage Baq_Sau1	dsDNA	44384
Dubowvirus	Azeredovirinae		AF424781	Staphylococcus phage phi 11	dsDNA	43604
Phietavirus	Azeredovirinae		MK290764	Staphylococcus phage B122	dsDNA	43108
Phietavirus	Azeredovirinae		KP893289	Staphylococcus phage B166	dsDNA	42881
Acadianvirus	Bclasvirinae		JN699007	Mycobacterium phage Acadian	dsDNA	69864
Acadianvirus	Bclasvirinae		KR080199	Mycobacterium phage Baee	dsDNA	70270
Birdsnestvirus	Bclasvirinae		MN813686	Mycobacterium phage BirdsNest	dsDNA	70668
Birdsnestvirus	Bclasvirinae		PQ844485	Mycobacterium phage Hashim76	dsDNA	70230
Coopervirus	Bclasvirinae		KF279411	Mycobacterium phage Adawi	dsDNA	70236
Coopervirus	Bclasvirinae		KF279412	Mycobacterium phage Bane1	dsDNA	69309
Imvubuvirus	Bclasvirinae		MN813693	Mycobacterium phage Imvubu	dsDNA	69897
Julieunavirus	Bclasvirinae		KJ433976	Mycobacterium phage Julie1	dsDNA	71058
Lilmcdreamyvirus	Bclasvirinae		MN284893	Mycobacterium phage LilMcDreamy	dsDNA	71552
Pegunavirus	Bclasvirinae		KR781349	Mycobacterium phage Apizium	dsDNA	68227
Pegunavirus	Bclasvirinae		MH450122	Mycobacterium phage KingTut	dsDNA	64827
Pipefishvirus	Bclasvirinae		JN699003	Mycobacterium phage Athena	dsDNA	69409
Pipefishvirus	Bclasvirinae		KF493879	Mycobacterium phage Bernardo	dsDNA	68196
Quesadillavirus	Bclasvirinae		MK059749	Mycobacterium phage CRB2	dsDNA	72217
Quesadillavirus	Bclasvirinae		MN617843	Mycobacterium phage Quesadilla	dsDNA	70992
Rosebushvirus	Bclasvirinae		KR997932	Mycobacterium phage Godines	dsDNA	67277
Rosebushvirus	Bclasvirinae		KX443696	Mycobacterium phage Laurie	dsDNA	66507
Saguarovirus	Bclasvirinae		MH744423	Mycobacterium phage Saguaro	dsDNA	69448
Thonkovirus	Bclasvirinae		MH632120	Mycobacterium phage Thonko	dsDNA	69471
Bixiavirus	Beaumontvirinae		MN937349	Stenotrophomonas phage vB_SmaS_BUCT548	dsDNA	62354
Bixiavirus	Beaumontvirinae		MZ398241	Stenotrophomonas phage BUCT626	dsDNA	61662
Salvavirus	Beaumontvirinae		MW393850	Stenotrophomonas phage Salva	dsDNA	60789
Siaravirus	Beaumontvirinae		MZ326859	Stenotrophomonas phage Siara	dsDNA	61427
Flowerpowervirus	Beephvirinae		MH155868	Streptomyces phage FlowerPower	dsDNA	46133
Immanueltrevirus	Beephvirinae		MG518520	Streptomyces phage Immanuel3	dsDNA	46094
Manuelvirus	Beephvirinae		MN994275	Streptomyces phage JXY1	dsDNA	45385
Manuelvirus	Beephvirinae		MG518519	Streptomyces phage Manuel	dsDNA	45177
Biseptimavirus	Bronfenbrennervirinae		KF831354	Staphylococcus phage phiBU01	dsDNA	43748
Biseptimavirus	Bronfenbrennervirinae		AY508486	Staphylococcus phage 77	dsDNA	41708
Peeveelvirus	Bronfenbrennervirinae		FJ713816	Staphylococcus phage phiPVL-CN125	dsDNA	44492
Peeveelvirus	Bronfenbrennervirinae		KC342645	Staphylococcus phage JS01	dsDNA	43458
Gotuavirus	Cardingvirinae		FJ008913	Bacteroides phage B40-8	dsDNA	44929
Gotuavirus	Cardingvirinae		HE608841	Bacteroides phage B124-14	dsDNA	47159
Kherlenvirus	Cardingvirinae		OP172666	Bacteroides phage BF486P1	dsDNA	45869
Kherlenvirus	Cardingvirinae		OP172673	Bacteroides phage BF695P2	dsDNA	44783
Bixzunavirus	Ceeclamvirinae		JF704092	Mycobacterium phage Alice	dsDNA	153401
Bixzunavirus	Ceeclamvirinae		KC691257	Mycobacterium phage Astraea	dsDNA	154872
Myrnavirus	Ceeclamvirinae		EU826466	Mycobacterium phage Myrna	dsDNA	164602
Myrnavirus	Ceeclamvirinae		MF668280	Mycobacterium phage Phabba	dsDNA	164254
Aziravirus	Ceeteevirinae		OQ709211	Gordonia phage Azira	dsDNA	45336
Aziravirus	Ceeteevirinae		OR553910	Gordonia phage Fribs8	dsDNA	45985
Emalynvirus	Ceeteevirinae		PP208920	Gordonia phage BillDoor	dsDNA	44875
Emalynvirus	Ceeteevirinae		KU998239	Gordonia phage Cozz	dsDNA	46600
Margaretvirus	Ceeteevirinae		ON970621	Gordonia phage Button	dsDNA	46090
Margaretvirus	Ceeteevirinae		OL455888	Gordonia phage GiKK	dsDNA	47537
Ponsvirus	Ceeteevirinae		MT776810	Gordonia phage BigChungus	dsDNA	47166
Ponsvirus	Ceeteevirinae		MN284906	Gordonia phage CherryonLim	dsDNA	48948
Brujitavirus	Chebruvirinae		JN699001	Mycobacterium phage Babsiella	dsDNA	48420
Brujitavirus	Chebruvirinae		FJ168659	Mycobacterium phage Brujita	dsDNA	47057
Elesarvirus	Daemsvirinae		MK392368	Arthrobacter phage Elesar	dsDNA	42954
Nanditavirus	Daemsvirinae		ON392166	Arthrobacter phage Cole	dsDNA	41834
Nanditavirus	Daemsvirinae		MH834621	Arthrobacter phage Nandita	dsDNA	42378
Hawkeyevirus	Dclasvirinae		KJ194582	Mycobacterium phage Hawkeye	dsDNA	67383
Plotvirus	Dclasvirinae		DQ398051	Mycobacterium phage Plot	dsDNA	64787
Kenoshavirus	Deejayvirinae		MN204501	Gordonia phage Chikenjars	dsDNA	61544
Kenoshavirus	Deejayvirinae		MN585996	Gordonia phage Crocheter	dsDNA	60531
Secretariatvirus	Deejayvirinae		MT310850	Gordonia phage Secretariat	dsDNA	57731
Tanisvirus	Deejayvirinae		MN585971	Gordonia phage Avazak	dsDNA	60278
Tanisvirus	Deejayvirinae		MN284904	Gordonia phage Tanis	dsDNA	59727
Nevillevirus	Deeyouvirinae		MH651182	Gordonia phage Neville	dsDNA	75813
Nevillevirus	Deeyouvirinae		MT658805	Gordonia phage Rabbitrun	dsDNA	76821
Octobienvirus	Deeyouvirinae		OK040786	Gordonia phage Kudefre	dsDNA	76731
Octobienvirus	Deeyouvirinae		MH976515	Gordonia phage Octobien14	dsDNA	76358
Lambovirus	Dovevirinae		OR475261	Gordonia phage BirthdayBoy	dsDNA	67633
Lambovirus	Dovevirinae		OR475273	Gordonia phage Erutan	dsDNA	66957
Xeniaduovirus	Dovevirinae		PP725409	Gordonia phage Xenia2	dsDNA	68135
Hualiencityvirus	Dravavirinae		OK632025	Elizabethkingia phage TCUEAP2	dsDNA	42700
Rodicavirus	Dravavirinae		OR296437	Bacteroides phage C1_85S2P	dsDNA	44391
Rodicavirus	Dravavirinae		OP172815	Parabacteroides phage PD491P1	dsDNA	45060
Tongtianvirus	Dravavirinae		OP172640	Alistipes phage AS73P1	dsDNA	45392
Anclarvirus	Durvirinae		MN908693	Gordonia phage AnClar	dsDNA	61856
Anclarvirus	Durvirinae		ON260813	Gordonia phage BiggityBass	dsDNA	63202
Duluthvirus	Durvirinae		OP751153	Gordonia phage LittleMunchkin	dsDNA	63193
Ligmavirus	Durvirinae		OM105886	Gordonia phage Ligma	dsDNA	61714
Ligmavirus	Durvirinae		MT657335	Gordonia phage Mariokart	dsDNA	60762
Mossrosevirus	Durvirinae		ON108644	Gordonia phage CaiB	dsDNA	61620
Mossrosevirus	Durvirinae		PQ184807	Gordonia phage MakoManhole	dsDNA	61592
Nhagosvirus	Durvirinae		MN369758	Gordonia phage Nhagos	dsDNA	59580
Akonivirus	Eekayvirinae		MK757449	Microbacterium phage Akoni	dsDNA	54307
Akonivirus	Eekayvirinae		MT310890	Microbacterium phage Phedro	dsDNA	54442
Tinytimothyvirus	Eekayvirinae		MK894435	Microbacterium phage Alex44	dsDNA	54396
Tinytimothyvirus	Eekayvirinae		MK878904	Microbacterium phage TinyTimothy	dsDNA	53932
Corgivirus	Feeclasvirinae		MH834607	Arthrobacter phage Corgi	dsDNA	15771
Idahovirus	Feeclasvirinae		MK757448	Arthrobacter phage Idaho	dsDNA	15675
Noelyvirus	Feeclasvirinae		MH834622	Arthrobacter phage Noely	dsDNA	15013
Hinxtonvirus	Ferrettivirinae		KT337339	Streptococcus phage phiARI0004	dsDNA	41105
Hinxtonvirus	Ferrettivirinae		KT337340	Streptococcus phage phiARI0031	dsDNA	41887
Norfolkplacevirus	Ferrettivirinae		KT337365	Streptococcus phage phiARI0746	dsDNA	33181
Norfolkplacevirus	Ferrettivirinae		KY065456	Streptococcus phage IPP15	dsDNA	38083
Spinunavirus	Ferrettivirinae		KT337349.1	Streptococcus phage phiARI0399	dsDNA	40568
Spinunavirus	Ferrettivirinae		KT337341	Streptococcus phage phiARI0131-1	dsDNA	42927
Branvirus	Frobishervirinae		MK977714	Corynebacterium phage Bran	dsDNA	44484
Samwavirus	Frobishervirinae		MK977715	Corynebacterium phage Adelaide	dsDNA	44104
Samwavirus	Frobishervirinae		MK977706	Corynebacterium phage Dina	dsDNA	44381
Antsirabevirus	Gclasvirinae		MN234183	Mycobacterium phage Antsirabe	dsDNA	44739
Avocadovirus	Gclasvirinae		MF141540	Mycobacterium phage Avocado	dsDNA	45389
Avocadovirus	Gclasvirinae		KR080198	Mycobacterium phage Cambiare	dsDNA	45161
Jolieduovirus	Gclasvirinae		KJ410133	Mycobacterium phage Jolie2	dsDNA	44306
Jolieduovirus	Gclasvirinae		MN234185	Mycobacterium phage Lemuria	dsDNA	44998
Liefievirus	Gclasvirinae		MH779505	Mycobacterium phage Grizzly	dsDNA	41752
Liefievirus	Gclasvirinae		DQ398042	Mycobacterium phage Halo	dsDNA	42289
Pinnievirus	Gclasvirinae		KR080202	Mycobacterium phage MOOREtheMARYer	dsDNA	44492
Pinnievirus	Gclasvirinae		MK494105	Mycobacterium phage Pinnie	dsDNA	44842
Dragolirvirus	Gochnauervirinae		MG727697	Paenibacillus phage Dragolir	dsDNA	41131
Harrisonvirus	Gochnauervirinae		KT361651	Paenibacillus phage Harrison	dsDNA	44249
Vegasvirus	Gochnauervirinae		KT361654	Paenibacillus phage Vegas	dsDNA	45653
Wanderervirus	Gochnauervirinae		MH431930	Paenibacillus phage Wanderer	dsDNA	40448
Avanivirus	Gracegardnervirinae		JQ809702	Mycobacterium phage Avani	dsDNA	54470
Avanivirus	Gracegardnervirinae		AY129336	Mycobacterium phage Che9d	dsDNA	56275
Cheoctovirus	Gracegardnervirinae		MH744415	Mycobacterium phage ArcusAngelus	dsDNA	58569
Cheoctovirus	Gracegardnervirinae		GU060500	Mycobacterium phage Ardmore	dsDNA	52141
Cornievirus	Gracegardnervirinae		MN908688	Mycobacterium phage Cornie	dsDNA	56391
Moomoovirus	Gracegardnervirinae		MH001449	Mycobacterium phage MooMoo	dsDNA	55178
Squirtyvirus	Gracegardnervirinae		KM101124	Mycobacterium phage Squirty	dsDNA	60285
Thetabobvirus	Gracegardnervirinae		MH651187	Mycobacterium phage Renaud18	dsDNA	58078
Thetabobvirus	Gracegardnervirinae		MH077585	Mycobacterium phage TChen	dsDNA	57742
Beetrevirus	Guarnerosvirinae		AF232233	Pseudomonas phage B3	dsDNA	38439
Mechnikovvirus	Guarnerosvirinae		MK511059	Pseudomonas phage vB_Pae_CF78a	dsDNA	39705
Mechnikovvirus	Guarnerosvirinae		JX495043	Pseudomonas phage JBD67	dsDNA	38232
Torontovirus	Guarnerosvirinae		MH719189	Pseudomonas phage Fc02	dsDNA	38122
Torontovirus	Guarnerosvirinae		MH719191	Pseudomonas phage Fc22	dsDNA	38255
Carmenvirus	Gutmannvirinae		MG784342	Bacillus phage Carmen17	dsDNA	41820
Carmenvirus	Gutmannvirinae		MH598512	Bacillus phage Wes44	dsDNA	42248
Layangavirus	Gutmannvirinae		ON366410	Bacillus phage vB_BceS_LY1	dsDNA	43140
Layangbvirus	Gutmannvirinae		OP646176	Bacillus phage vB_BceS_LY5	dsDNA	42221
Pebcunavirus	Gutmannvirinae		JQ619704	Bacillus phage PBC1	dsDNA	41164
Kenyattavirus	Heleneionescovirinae		MH884508	Bacillus phage vB_BcoS-136	dsDNA	160590
Zhangjivirus	Heleneionescovirinae		OM236516	Bacillus phage FADO	dsDNA	164756
Zhangjivirus	Heleneionescovirinae		OM634653	Bacillus phage vB_BsuS_PJN02	dsDNA	165868
Byrnievirus	Hendrixvirinae		AF069529	Escherichia phage HK97	dsDNA	39732
Cuauhtlivirus	Hendrixvirinae		JQ182727	Escherichia phage mEpX1	dsDNA	41567
Kwaitsingvirus	Hendrixvirinae		JQ086372	Escherichia phage HK446	dsDNA	39026
Kwaitsingvirus	Hendrixvirinae		JQ086374	Escherichia phage HK544	dsDNA	40155
Nochtlivirus	Hendrixvirinae		JQ182731	Enterobacteria phage mEp235	dsDNA	37595
Saikungvirus	Hendrixvirinae		HM173637	Escherichia phage HK75	dsDNA	36661
Saikungvirus	Hendrixvirinae		JQ086377	Escherichia phage HK633	dsDNA	41528
Shamshuipovirus	Hendrixvirinae		AF069308	Escherichia phage HK022	dsDNA	40751
Shamshuipovirus	Hendrixvirinae		JQ182726	Escherichia phage mEpX2	dsDNA	38759
Wanchaivirus	Hendrixvirinae		JQ086369	Escherichia phage HK106	dsDNA	41468
Wanchaivirus	Hendrixvirinae		JQ182732	Escherichia phage mEp234	dsDNA	39578
Wongtaivirus	Hendrixvirinae		KY979108	Escherichia phage ECP1	dsDNA	40469
Wongtaivirus	Hendrixvirinae		JQ086373	Escherichia phage HK542	dsDNA	38964
Yautsimvirus	Hendrixvirinae		JQ086370	Enterobacteria phage HK140	dsDNA	40710
Aryavirus	Iiscvirinae		KX231828	Enterobacter phage Arya	dsDNA	41918
Jilinvirus	Iiscvirinae		GU903191	Escherichia phage vB_EcoM_ECO1230-10	dsDNA	41666
Jilinvirus	Iiscvirinae		KY705409	Escherichia phage vB_EcoM_ECOO78	dsDNA	41289
Bimevirus	Jameshumphriesvirinae		MG197810	Klebsiella phage 1611E-K2-1	dsDNA	47797
Bimevirus	Jameshumphriesvirinae		MK685667	Klebsiella phage vB_KpnM_IME346	dsDNA	49482
Chaoyangvirus	Jameshumphriesvirinae		MZ374361	Klebsiella phage BUCT_49532	dsDNA	49532
Geezettvirus	Jameshumphriesvirinae		MZ504995	Klebsiella phage Geezett	dsDNA	50707
Jedunavirus	Jameshumphriesvirinae		JX866719	Klebsiella phage JD001	dsDNA	48814
Mascletvirus	Jameshumphriesvirinae		ON602758	Klebsiella phage VLCpiM12a	dsDNA	48833
Parissaclayvirus	Jameshumphriesvirinae		MN689778	Klebsiella phage vB_KpnM_15-38_KLPPOU148	dsDNA	49169
Peatvirus	Jameshumphriesvirinae		MG432137	Pectinobacterium phage PEAT2	dsDNA	48659
Ringroadvirus	Jameshumphriesvirinae		MZ398021	Klebsiella phage BUCT_47333	dsDNA	47333
Sircambvirus	Jameshumphriesvirinae		MK521906	Klebsiella phage vB_KpnM_FZ14	dsDNA	49370
Sircambvirus	Jameshumphriesvirinae		OK499978	Klebsiella phage vB_KpnM_JustaPhage	dsDNA	48129
Zewailvirus	Jameshumphriesvirinae		OP114730	Klebsiella phage SBP	dsDNA	49371
Zewailvirus	Jameshumphriesvirinae		ON086804	Escherichia phage ZCEC13	dsDNA	48021
Caojiangvirus	Jianjiangvirinae		OP172643	Bacteroides phage BC422P2	dsDNA	36509
Caojiangvirus	Jianjiangvirinae		OP172681	Bacteroides phage BK687P1	dsDNA	37994
Luojiangvirus	Jianjiangvirinae		OP172644	Bacteroides phage BC669P1	dsDNA	36278
Luojiangvirus	Jianjiangvirinae		OP172645	Bacteroides phage BC669P2	dsDNA	36323
Natevirus	Joanripponvirinae		OK499992	Bacillus phage vB_BanS_Nate	dsDNA	166879
Sophritavirus	Joanripponvirinae		MK288021	Bacillus phage pW2	dsDNA	160627
Sophritavirus	Joanripponvirinae		OK499991	Bacillus phage vB_BanS_Sophrita	dsDNA	167995
Tsamsavirus	Joanripponvirinae		OK499972	Bacillus phage vB_BanS_Chewbecca	dsDNA	161151
Tsamsavirus	Joanripponvirinae		MT254578	Bacillus phage Izhevsk	dsDNA	168638
